email_subject,email_body,is_phishing
Job Application Status,New sign-in detected from an unknown device. Verify if this was you.,0
Your Subscription Renewal,Your credit card statement is ready.,0
Your Subscription Renewal,Request to reset your password. Click the link to proceed.,0
Verify Your Email Address,Your job application status has been updated.,1
Confirm Your Participation,Important notice regarding your account.,0
Action Required: Update Your Info,Your Amazon invoice for the recent purchase is attached.,0
Congratulations! You've won a prize,Thank you for your order. Your confirmation is attached.,0
New Sign-In from Unknown Device,Action required: update your personal information.,0
New Sign-In from Unknown Device,Hurry! This offer ends soon.,0
Invoice Payment Reminder,You've received a secure document. Click to view.,0
Password Reset Request,Verify your email address to continue.,1
Action Required: Update Your Info,Your credit card statement is ready.,1
Last Chance: Special Discount Inside,Thank you for your order. Your confirmation is attached.,1
Urgent: Account Verification Required,"Regarding your recent purchase, see the details.",0
Congratulations! You've won a prize,Your invoice payment is overdue. Please pay now.,0
Bank Account Suspended,Update your payment information to avoid interruption.,0
Limited Time Offer!,New sign-in detected from an unknown device. Verify if this was you.,0
Password Reset Request,"Regarding your recent purchase, see the details.",0
Verify Your Phone Number,Your subscription is about to expire. Renew now.,0
Security Alert: Unusual Login Attempt,Thank you for your order. Your confirmation is attached.,1
Re: Your Recent Purchase,Your subscription is about to expire. Renew now.,1
Limited Time Offer!,Thank you for your order. Your confirmation is attached.,1
Limited Time Offer!,Action required: update your personal information.,1
Important: Action Required,Request to reset your password. Click the link to proceed.,1
Security Alert: Unusual Login Attempt,You have been selected as a winner! Claim your prize now.,1
Bank Account Suspended,Immediate action required. Please update your details.,0
Your Credit Card Statement,Your credit card statement is ready.,1
New Sign-In from Unknown Device,Your Amazon invoice for the recent purchase is attached.,1
Important: Action Required,Your package is on its way. Track your delivery.,1
Important: Action Required,Your package is on its way. Track your delivery.,1
Urgent: Account Verification Required,Verify your email address to continue.,0
Security Alert: Unusual Login Attempt,Important notice regarding your account.,1
Bank Account Suspended,Your bank account has been suspended. Contact us immediately.,0
Invoice Payment Reminder,Verify your phone number to keep your account secure.,1
You've received a secure document,Important notice regarding your account.,1
Security Alert: Unusual Login Attempt,Request to reset your password. Click the link to proceed.,1
Important: Action Required,Request to reset your password. Click the link to proceed.,0
Action Required: Update Your Info,This is your last chance to get a special discount.,0
You've received a secure document,Immediate action required. Please update your details.,0
Security Alert: Unusual Login Attempt,You have been selected as a winner! Claim your prize now.,1
Last Chance: Special Discount Inside,"Regarding your recent purchase, see the details.",0
Your Order Confirmation,Thank you for your order. Your confirmation is attached.,1
Password Reset Request,Important notice regarding your account.,0
Package Delivery Notification,Please confirm your participation in the event.,1
New Sign-In from Unknown Device,Your job application status has been updated.,1
You've received a secure document,Please click the link below to verify your account.,0
Package Delivery Notification,Your Amazon invoice for the recent purchase is attached.,0
Action Required: Update Your Info,"Regarding your recent purchase, see the details.",0
Last Chance: Special Discount Inside,This is your last chance to get a special discount.,0
Congratulations! You've won a prize,Verify your phone number to keep your account secure.,0
Important: Action Required,Your Amazon invoice for the recent purchase is attached.,1
Re: Your Recent Purchase,Update your payment information to avoid interruption.,0
Confirm Your Participation,You've received a secure document. Click to view.,1
New Sign-In from Unknown Device,Receipt for your recent payment is attached.,0
Important: Action Required,Please confirm your participation in the event.,0
Your Credit Card Statement,Your Amazon invoice for the recent purchase is attached.,0
Important Account Notice,Your credit card statement is ready.,1
Congratulations! You've won a prize,Your subscription is about to expire. Renew now.,1
Last Chance: Special Discount Inside,Receipt for your recent payment is attached.,1
Receipt for Your Payment,Verify your phone number to keep your account secure.,0
Receipt for Your Payment,Your subscription is about to expire. Renew now.,0
Important Account Notice,You have been selected as a winner! Claim your prize now.,1
Your Order Confirmation,This is your last chance to get a special discount.,0
You've received a secure document,New sign-in detected from an unknown device. Verify if this was you.,0
Package Delivery Notification,Please confirm your participation in the event.,1
Bank Account Suspended,Your job application status has been updated.,0
Last Chance: Special Discount Inside,Verify your email address to continue.,1
Action Required: Update Your Info,Receipt for your recent payment is attached.,1
Action Required: Update Your Info,Request to reset your password. Click the link to proceed.,0
Limited Time Offer!,New sign-in detected from an unknown device. Verify if this was you.,0
New Sign-In from Unknown Device,Immediate action required. Please update your details.,0
Important Account Notice,Verify your email address to continue.,1
Verify Your Email Address,Your package is on its way. Track your delivery.,1
Your Invoice from Amazon,"Regarding your recent purchase, see the details.",1
Package Delivery Notification,We noticed an unusual login attempt. Please secure your account.,0
Security Alert: Unusual Login Attempt,Update your payment information to avoid interruption.,1
Congratulations! You've won a prize,We noticed an unusual login attempt. Please secure your account.,0
Please Update Your Payment Information,Please click the link below to verify your account.,1
Your Order Confirmation,Please confirm your participation in the event.,1
Job Application Status,Your bank account has been suspended. Contact us immediately.,0
Please Update Your Payment Information,Thank you for your order. Your confirmation is attached.,1
Limited Time Offer!,Your bank account has been suspended. Contact us immediately.,1
Limited Time Offer!,You've received a secure document. Click to view.,1
Verify Your Phone Number,Request to reset your password. Click the link to proceed.,0
Important Account Notice,Action required: update your personal information.,1
Re: Your Recent Purchase,Your credit card statement is ready.,1
Re: Your Recent Purchase,Receipt for your recent payment is attached.,1
Last Chance: Special Discount Inside,Hurry! This offer ends soon.,0
Invoice Payment Reminder,Action required: update your personal information.,0
Bank Account Suspended,Please confirm your participation in the event.,0
You've received a secure document,Receipt for your recent payment is attached.,1
Verify Your Email Address,"Regarding your recent purchase, see the details.",1
Your Invoice from Amazon,Your subscription is about to expire. Renew now.,0
Bank Account Suspended,Your job application status has been updated.,0
Action Required: Update Your Info,We noticed an unusual login attempt. Please secure your account.,0
Password Reset Request,Immediate action required. Please update your details.,1
Security Alert: Unusual Login Attempt,You have been selected as a winner! Claim your prize now.,1
Limited Time Offer!,Your credit card statement is ready.,1
Verify Your Email Address,"Regarding your recent purchase, see the details.",1
Congratulations! You've won a prize,"Regarding your recent purchase, see the details.",0
Your Invoice from Amazon,Your invoice payment is overdue. Please pay now.,0
Congratulations! You've won a prize,Please confirm your participation in the event.,1
Re: Your Recent Purchase,Your invoice payment is overdue. Please pay now.,0
Package Delivery Notification,Please confirm your participation in the event.,0
Bank Account Suspended,Request to reset your password. Click the link to proceed.,1
Urgent: Account Verification Required,This is your last chance to get a special discount.,0
Invoice Payment Reminder,Receipt for your recent payment is attached.,0
Urgent: Account Verification Required,Action required: update your personal information.,0
Important Account Notice,Your package is on its way. Track your delivery.,1
Your Credit Card Statement,This is your last chance to get a special discount.,0
Limited Time Offer!,Action required: update your personal information.,1
New Sign-In from Unknown Device,Receipt for your recent payment is attached.,0
Confirm Your Participation,Your Amazon invoice for the recent purchase is attached.,0
Last Chance: Special Discount Inside,Hurry! This offer ends soon.,1
Re: Your Recent Purchase,Your job application status has been updated.,1
New Sign-In from Unknown Device,New sign-in detected from an unknown device. Verify if this was you.,0
Security Alert: Unusual Login Attempt,"Regarding your recent purchase, see the details.",0
Job Application Status,Thank you for your order. Your confirmation is attached.,1
Package Delivery Notification,You have been selected as a winner! Claim your prize now.,0
You've received a secure document,Thank you for your order. Your confirmation is attached.,1
Re: Your Recent Purchase,Receipt for your recent payment is attached.,1
Re: Your Recent Purchase,Your bank account has been suspended. Contact us immediately.,1
Last Chance: Special Discount Inside,Hurry! This offer ends soon.,1
Your Subscription Renewal,Important notice regarding your account.,1
Limited Time Offer!,Verify your phone number to keep your account secure.,0
Limited Time Offer!,Your credit card statement is ready.,0
Urgent: Account Verification Required,Your credit card statement is ready.,1
Receipt for Your Payment,"Regarding your recent purchase, see the details.",1
Your Order Confirmation,Thank you for your order. Your confirmation is attached.,0
Your Order Confirmation,Verify your phone number to keep your account secure.,0
Password Reset Request,Your invoice payment is overdue. Please pay now.,1
New Sign-In from Unknown Device,We noticed an unusual login attempt. Please secure your account.,0
Bank Account Suspended,Your Amazon invoice for the recent purchase is attached.,1
Limited Time Offer!,Receipt for your recent payment is attached.,0
Last Chance: Special Discount Inside,Please click the link below to verify your account.,0
Your Invoice from Amazon,Your package is on its way. Track your delivery.,1
Password Reset Request,Action required: update your personal information.,0
Password Reset Request,Update your payment information to avoid interruption.,0
Your Order Confirmation,Thank you for your order. Your confirmation is attached.,1
Package Delivery Notification,New sign-in detected from an unknown device. Verify if this was you.,0
Receipt for Your Payment,Your bank account has been suspended. Contact us immediately.,1
Receipt for Your Payment,Your bank account has been suspended. Contact us immediately.,1
Important: Action Required,This is your last chance to get a special discount.,1
Your Order Confirmation,Thank you for your order. Your confirmation is attached.,1
Receipt for Your Payment,We noticed an unusual login attempt. Please secure your account.,1
Last Chance: Special Discount Inside,Your Amazon invoice for the recent purchase is attached.,1
Receipt for Your Payment,This is your last chance to get a special discount.,0
Action Required: Update Your Info,Your Amazon invoice for the recent purchase is attached.,0
Last Chance: Special Discount Inside,Your subscription is about to expire. Renew now.,0
Important Account Notice,You have been selected as a winner! Claim your prize now.,0
Limited Time Offer!,Verify your phone number to keep your account secure.,1
Bank Account Suspended,Immediate action required. Please update your details.,1
Your Subscription Renewal,This is your last chance to get a special discount.,1
Your Order Confirmation,Action required: update your personal information.,0
Last Chance: Special Discount Inside,New sign-in detected from an unknown device. Verify if this was you.,0
Limited Time Offer!,Your bank account has been suspended. Contact us immediately.,1
Action Required: Update Your Info,New sign-in detected from an unknown device. Verify if this was you.,0
Important Account Notice,Your invoice payment is overdue. Please pay now.,0
Security Alert: Unusual Login Attempt,You have been selected as a winner! Claim your prize now.,0
Security Alert: Unusual Login Attempt,Please confirm your participation in the event.,1
Action Required: Update Your Info,We noticed an unusual login attempt. Please secure your account.,1
Package Delivery Notification,You have been selected as a winner! Claim your prize now.,1
You've received a secure document,This is your last chance to get a special discount.,0
Invoice Payment Reminder,Verify your phone number to keep your account secure.,0
Invoice Payment Reminder,Please confirm your participation in the event.,0
Please Update Your Payment Information,Hurry! This offer ends soon.,0
Your Invoice from Amazon,Request to reset your password. Click the link to proceed.,1
Your Subscription Renewal,Action required: update your personal information.,1
Your Subscription Renewal,Hurry! This offer ends soon.,1
Last Chance: Special Discount Inside,Your package is on its way. Track your delivery.,1
Please Update Your Payment Information,You have been selected as a winner! Claim your prize now.,1
New Sign-In from Unknown Device,Your job application status has been updated.,1
Please Update Your Payment Information,You've received a secure document. Click to view.,1
Action Required: Update Your Info,Your subscription is about to expire. Renew now.,0
Password Reset Request,Please click the link below to verify your account.,0
Urgent: Account Verification Required,Hurry! This offer ends soon.,1
Verify Your Email Address,Immediate action required. Please update your details.,0
Receipt for Your Payment,You have been selected as a winner! Claim your prize now.,0
Your Credit Card Statement,We noticed an unusual login attempt. Please secure your account.,0
Invoice Payment Reminder,Immediate action required. Please update your details.,0
Verify Your Email Address,Your bank account has been suspended. Contact us immediately.,0
Verify Your Email Address,Thank you for your order. Your confirmation is attached.,0
Password Reset Request,Your credit card statement is ready.,1
Last Chance: Special Discount Inside,New sign-in detected from an unknown device. Verify if this was you.,0
Last Chance: Special Discount Inside,Your invoice payment is overdue. Please pay now.,1
New Sign-In from Unknown Device,You've received a secure document. Click to view.,0
New Sign-In from Unknown Device,You have been selected as a winner! Claim your prize now.,1
Job Application Status,Your job application status has been updated.,0
New Sign-In from Unknown Device,Thank you for your order. Your confirmation is attached.,0
Your Order Confirmation,Your credit card statement is ready.,0
Invoice Payment Reminder,Verify your email address to continue.,1
Confirm Your Participation,You've received a secure document. Click to view.,0
Security Alert: Unusual Login Attempt,We noticed an unusual login attempt. Please secure your account.,0
Your Credit Card Statement,Receipt for your recent payment is attached.,0
Please Update Your Payment Information,Update your payment information to avoid interruption.,1
Verify Your Phone Number,Your job application status has been updated.,0
Job Application Status,Verify your phone number to keep your account secure.,1
You've received a secure document,Your Amazon invoice for the recent purchase is attached.,0
Receipt for Your Payment,You have been selected as a winner! Claim your prize now.,1
Password Reset Request,You've received a secure document. Click to view.,0
Important: Action Required,Your credit card statement is ready.,1
Please Update Your Payment Information,This is your last chance to get a special discount.,1
You've received a secure document,We noticed an unusual login attempt. Please secure your account.,1
You've received a secure document,"Regarding your recent purchase, see the details.",0
Re: Your Recent Purchase,We noticed an unusual login attempt. Please secure your account.,1
Job Application Status,You've received a secure document. Click to view.,0
Package Delivery Notification,Update your payment information to avoid interruption.,1
Job Application Status,Your package is on its way. Track your delivery.,0
Your Subscription Renewal,Immediate action required. Please update your details.,0
Action Required: Update Your Info,Your package is on its way. Track your delivery.,0
Password Reset Request,Please click the link below to verify your account.,1
Security Alert: Unusual Login Attempt,Please click the link below to verify your account.,0
Verify Your Phone Number,Your Amazon invoice for the recent purchase is attached.,0
Verify Your Email Address,Your subscription is about to expire. Renew now.,1
Bank Account Suspended,Thank you for your order. Your confirmation is attached.,0
Important: Action Required,Immediate action required. Please update your details.,0
Receipt for Your Payment,Verify your email address to continue.,0
Verify Your Email Address,Your Amazon invoice for the recent purchase is attached.,0
Verify Your Email Address,You have been selected as a winner! Claim your prize now.,1
Verify Your Phone Number,Your invoice payment is overdue. Please pay now.,0
New Sign-In from Unknown Device,Receipt for your recent payment is attached.,0
Verify Your Phone Number,Your invoice payment is overdue. Please pay now.,0
Job Application Status,Action required: update your personal information.,1
Please Update Your Payment Information,You have been selected as a winner! Claim your prize now.,1
Package Delivery Notification,Your package is on its way. Track your delivery.,0
Your Credit Card Statement,Receipt for your recent payment is attached.,1
Re: Your Recent Purchase,Hurry! This offer ends soon.,1
Security Alert: Unusual Login Attempt,Thank you for your order. Your confirmation is attached.,0
You've received a secure document,Your credit card statement is ready.,1
Action Required: Update Your Info,Update your payment information to avoid interruption.,1
You've received a secure document,Important notice regarding your account.,1
Your Credit Card Statement,Request to reset your password. Click the link to proceed.,0
Verify Your Email Address,Please click the link below to verify your account.,0
Verify Your Email Address,Verify your phone number to keep your account secure.,0
Your Order Confirmation,Verify your phone number to keep your account secure.,1
Action Required: Update Your Info,Hurry! This offer ends soon.,0
Urgent: Account Verification Required,Update your payment information to avoid interruption.,0
Password Reset Request,You've received a secure document. Click to view.,0
Your Order Confirmation,Immediate action required. Please update your details.,0
Congratulations! You've won a prize,Hurry! This offer ends soon.,1
Invoice Payment Reminder,Receipt for your recent payment is attached.,1
Password Reset Request,Your invoice payment is overdue. Please pay now.,1
You've received a secure document,This is your last chance to get a special discount.,1
Verify Your Phone Number,Update your payment information to avoid interruption.,1
Verify Your Phone Number,Update your payment information to avoid interruption.,0
Verify Your Phone Number,Your Amazon invoice for the recent purchase is attached.,0
Urgent: Account Verification Required,Request to reset your password. Click the link to proceed.,0
Please Update Your Payment Information,Your job application status has been updated.,0
Your Invoice from Amazon,Please click the link below to verify your account.,1
